Date,Open,High,Low,Close,Volume
2025-10-29,635.5900268554688,637.010009765625,630.25,635.77001953125,67422800
2025-10-30,632.1699829101562,633.5,625.9400024414062,626.0499877929688,61628600
2025-10-31,634.1699829101562,634.2000122070312,626.6900024414062,629.0700073242188,66305100
2025-11-03,635.1099853515625,635.8200073242188,629.8499755859375,632.0800170898438,37154300
2025-11-04,623.280029296875,626.9500122070312,618.4600219726562,619.25,63830800
2025-11-05,618.489990234375,626.5999755859375,617.2100219726562,623.280029296875,48688500
2025-11-06,621.7899780273438,622.0399780273438,610.2999877929688,611.6699829101562,72115100
2025-11-07,608.3099975585938,609.9500122070312,598.6699829101562,609.739990234375,81835400
2025-11-10,618.9199829101562,624.3099975585938,616.8900146484375,623.22998046875,55919900
2025-11-11,620.5700073242188,622.719970703125,617.52001953125,621.5700073242188,44868800
2025-11-12,624.8400268554688,624.8599853515625,617.8099975585938,621.0800170898438,47444400
2025-11-13,617.5399780273438,618.1199951171875,606.0800170898438,608.4000244140625,71333600
2025-11-14,599.5499877929688,613.3499755859375,597.1699829101562,608.8599853515625,80087300
2025-11-17,606.2999877929688,612.47998046875,599.8699951171875,603.6599731445312,63850400
2025-11-18,599.6199951171875,602.3099975585938,591.3400268554688,596.3099975585938,83327300
2025-11-19,597.0700073242188,606.1599731445312,594.5900268554688,599.8699951171875,73111500
2025-11-20,611.6199951171875,614.030029296875,584.75,585.6699829101562,117743200
2025-11-21,587.469970703125,596.97998046875,580.739990234375,590.0700073242188,103344200
2025-11-24,595.280029296875,606.6799926757812,595.1599731445312,605.1599731445312,60168100
2025-11-25,603.510009765625,610.260009765625,597.3200073242188,608.8900146484375,57560900
2025-11-26,612.510009765625,616.1900024414062,610.3900146484375,614.27001953125,42393600
2025-11-28,616.1099853515625,619.3200073242188,615.4199829101562,619.25,23034400
